# This file was created by gnuFile.py version  $Revision: 632 $ on Fri Jul 17 11:32:42 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.engin.umich.edu$ GetData5E4.py
# 
# =============================================================================
# 
#  1            2             3            4             5            6            7             8            9            10            11           12           13            14           15            16           17            18           19           
# |-        Tracks        -| |-         Time         -| |-            Eigenvalue-0           -| |-            Eigenvalue-1           -| |-            Eigenvalue-2           -| |-        FOM-0         -| |-        FOM-1         -| |-        FOM-2         -| 
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   7.5E-05      2.4814E+08    7.5E-05      777.78        7.5E-05      0.99739      0.00035706    7.5E-05      0.98881      0.00033358    7.5E-05      0.97666      0.00036912    7.5E-05      10085         7.5E-05      11555         7.5E-05      9436.7       
   0.0001       2.4591E+08    0.0001       769.01        0.0001       0.99762      0.00028348    0.0001       0.98955      0.00036011    0.0001       0.97646      0.00039019    0.0001       16182         0.0001       10028         0.0001       8541.1       
   0.00025      2.4085E+08    0.00025      754.6         0.00025      0.99742      0.00036456    0.00025      0.98956      0.00029141    0.00025      0.97731      0.00038934    0.00025      9971.1        0.00025      15605         0.00025      8742.3       
   0.0005       2.5754E+08    0.0005       961.83        0.0005       0.99766      0.00029912    0.0005       0.99013      0.00031427    0.0005       0.97717      0.00034863    0.0005       11620         0.0005       10527         0.0005       8554.1       
   0.00075      2.5613E+08    0.00075      818.42        0.00075      0.99762      0.0003681     0.00075      0.98914      0.00036166    0.00075      0.97681      0.00043435    0.00075      9017.8        0.00075      9341.9        0.00075      6476.5       
   0.001        2.5633E+08    0.001        803.3         0.001        0.99731      0.00032142    0.001        0.98955      0.0003332     0.001        0.97688      0.00035601    0.001        12050         0.001        11212         0.001        9821.9       
   0.0025       2.5474E+08    0.0025       795           0.0025       0.99888      0.00061466    0.0025       0.99038      0.00033762    0.0025       0.97717      0.00041116    0.0025       3329.4        0.0025       11035         0.0025       7440.8       
   0.005        2.6018E+08    0.005        925.05        0.005        0.99859      0.00056183    0.005        0.9901       0.00026795    0.005        0.97783      0.00030782    0.005        3424.8        0.005        15057         0.005        11409        
   0.0075       2.5569E+08    0.0075       966.54        0.0075       0.99961      0.00064767    0.0075       0.99117      0.0002376     0.0075       0.97773      0.00037095    0.0075       2466.4        0.0075       18326         0.0075       7518.8       
   0.01         2.5688E+08    0.01         810.95        0.01         1.002        0.00072424    0.01         0.99161      0.00033543    0.01         0.97847      0.00015019    0.01         2351          0.01         10960         0.01         54665        
   0.05         2.5625E+08    0.05         822.05        0.05         1.0124       0.0006694     0.05         0.99618      0.00012813    0.05         0.98195      0.00017494    0.05         2714.8        0.05         74100         0.05         39751        
   0.1          2.5404E+08    0.1          827.37        0.1          1.0206       0.000482      0.1          1.0011       0.0001249     0.1          0.98456      0.00014192    0.1          5202.4        0.1          77477         0.1          60009        
   0.25         2.5226E+08    0.25         830.75        0.25         1.0396       0.00043344    0.25         1.0135       0.00014284    0.25         0.99241      0.00015438    0.25         6407.4        0.25         58996         0.25         50507        
   0.5          2.5169E+08    0.5          934.62        0.5          1.0613       0.00038672    0.5          1.0301       0.00020412    0.5          1.005        0.00019104    0.5          7154.5        0.5          25681         0.5          29316        
   0.75         2.5012E+08    0.75         830.51        0.75         1.08         0.00037479    0.75         1.0467       0.00023774    0.75         1.0153       0.00025087    0.75         8571.8        0.75         21303         0.75         19132        
   1            2.5034E+08    1            830.4         1            1.0971       0.00047116    1            1.06         0.00025649    1            1.0261       0.0002898     1            5424.7        1            18305         1            14339        
