# This file was created by gnuFile.py version  $Revision: 632 $ on Sat Jul 18 21:04:27 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# 193-97.adsl.umnet.umich.edu$ GetData5E6.py
# 
# =============================================================================
# 
#  1            2             3            4             5            6            7             8            9            10            11           12           13            14           15            16           17            18           19           
# |-        Tracks        -| |-         Time         -| |-            Eigenvalue-0           -| |-            Eigenvalue-1           -| |-            Eigenvalue-2           -| |-        FOM-0         -| |-        FOM-1         -| |-        FOM-2         -| 
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   0.001        2.5154E+10    0.001        78137         0.001        0.99742      2.1261E-05    0.001        0.98969      2.3205E-05    0.001        0.97718      2.1487E-05    0.001        28311         0.001        23768         0.001        27721        
   0.0025       2.5226E+10    0.0025       77833         0.0025       0.99737      1.9552E-05    0.0025       0.98971      2.2887E-05    0.0025       0.97724      6.1436E-05    0.0025       33610         0.0025       24527         0.0025       3404         
   0.005        2.5342E+10    0.005        78370         0.005        0.9978       0.00032385    0.005        0.98981      6.5317E-05    0.005        0.97758      0.00012741    0.005        121.66        0.005        2990.9        0.005        785.99       
   0.0075       2.4699E+10    0.0075       76615         0.0075       0.99751      8.2739E-05    0.0075       0.98975      4.6271E-05    0.0075       0.97775      0.00013845    0.0075       1906.6        0.0075       6096.3        0.0075       680.96       
   0.01         2.5247E+10    0.01         78487         0.01         0.99766      0.00012959    0.01         0.9898       6.1197E-05    0.01         0.97772      0.0001342     0.01         758.68        0.01         3402.1        0.01         707.5        
   0.05         2.5145E+10    0.05         81339         0.05         0.99906      0.00021904    0.05         0.99063      8.7634E-05    0.05         0.97816      0.00010466    0.05         256.24        0.05         1600.9        0.05         1122.4       
   0.1          2.4871E+10    0.1          77344         0.1          1.0012       0.00018209    0.1          0.99131      5.1511E-05    0.1          0.97837      6.1063E-05    0.1          389.94        0.1          4872.7        0.1          3467.4       
   0.25         2.497E+10     0.25         78881         0.25         1.0065       0.00033416    0.25         0.99329      6.7796E-05    0.25         0.97946      9.3146E-05    0.25         113.53        0.25         2758.2        0.25         1461.2       
   0.5          2.5042E+10    0.5          78254         0.5          1.0123       0.00031033    0.5          0.99643      6.3226E-05    0.5          0.9819       0.00012497    0.5          132.69        0.5          3196.7        0.5          818.18       
   0.75         2.5034E+10    0.75         78251         0.75         1.0165       0.0002701     0.75         0.99885      7.9911E-05    0.75         0.98309      0.00012696    0.75         175.17        0.75         2001.2        0.75         792.77       
   1            2.5033E+10    1            79328         1            1.0201       0.00039423    1            1.001        8.6148E-05    1            0.98494      0.00012832    1            81.109        1            1698.6        1            765.59       
