# This file was created by gnuFile.py version  $Revision: 632 $ on Fri Jul 17 11:31:38 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.engin.umich.edu$ GetData1E5.py
# 
# =============================================================================
# 
#  1            2             3            4             5            6            7             8            9            10            11           12           13            14           15            16           17            18           19           
# |-        Tracks        -| |-         Time         -| |-            Eigenvalue-0           -| |-            Eigenvalue-1           -| |-            Eigenvalue-2           -| |-        FOM-0         -| |-        FOM-1         -| |-        FOM-2         -| 
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   7.5E-06      4.9994E+08    7.5E-06      1567.7        7.5E-06      0.99753      0.00020047    7.5E-06      0.98987      0.00027333    7.5E-06      0.97709      0.00028127    7.5E-06      15872         7.5E-06      8538.1        7.5E-06      8062.8       
   1E-05        5E+08         1E-05        1569.2        1E-05        0.99699      0.00023512    1E-05        0.98997      0.00026696    1E-05        0.97725      0.00023229    1E-05        11528         1E-05        8942.3        1E-05        11811        
   2.5E-05      4.9982E+08    2.5E-05      1577.2        2.5E-05      0.99686      0.00023971    2.5E-05      0.98957      0.00026396    2.5E-05      0.97682      0.00023834    2.5E-05      11034         2.5E-05      9100.3        2.5E-05      11161        
   5E-05        4.9708E+08    5E-05        1560.8        5E-05        0.99746      0.00022222    5E-05        0.98963      0.00027656    5E-05        0.97704      0.00030166    5E-05        12974         5E-05        8376.3        5E-05        7040.5       
   7.5E-05      4.9528E+08    7.5E-05      1572.4        7.5E-05      0.99718      0.0002371     7.5E-05      0.9894       0.00024269    7.5E-05      0.97726      0.00024489    7.5E-05      11313         7.5E-05      10798         7.5E-05      10604        
   0.0001       4.9417E+08    0.0001       1599.1        0.0001       0.99704      0.00022766    0.0001       0.9894       0.00026794    0.0001       0.97669      0.00032887    0.0001       12065         0.0001       8710.8        0.0001       5781.8       
   0.00025      4.7942E+08    0.00025      1505          0.00025      0.9973       0.0002284     0.00025      0.98947      0.00030399    0.00025      0.97694      0.00029235    0.00025      12737         0.00025      7190.2        0.00025      7774.4       
   0.0005       5.0667E+08    0.0005       1591.5        0.0005       0.9979       0.00023744    0.0005       0.98963      0.00025247    0.0005       0.97672      0.00022149    0.0005       11145         0.0005       9857.8        0.0005       12808        
   0.00075      5.08E+08      0.00075      1595.8        0.00075      0.99727      0.00021018    0.00075      0.98969      0.00023683    0.00075      0.97714      0.00028679    0.00075      14185         0.00075      11172         0.00075      7618.7       
   0.001        5.0509E+08    0.001        1592.7        0.001        0.99684      0.00020482    0.001        0.98967      0.000223      0.001        0.97748      0.00021575    0.001        14968         0.001        12626         0.001        13489        
   0.0025       5.1682E+08    0.0025       1619.7        0.0025       0.99786      0.00029934    0.0025       0.9898       0.00025237    0.0025       0.9769       0.00028288    0.0025       6890.3        0.0025       9693.8        0.0025       7715.6       
   0.005        5.0898E+08    0.005        1588.1        0.005        0.99891      0.0005367     0.005        0.98992      1.4702E-05    0.005        0.97694      0.000139      0.005        2186          0.005        2.9131E+06    0.005        32592        
   0.0075       5.163E+08     0.0075       1618.4        0.0075       0.99929      0.00054405    0.0075       0.98999      0.00019128    0.0075       0.97784      0.00018286    0.0075       2087.5        0.0075       16889         0.0075       18479        
   0.01         5.0182E+08    0.01         1573          0.01         1.0009       0.00059299    0.01         0.99157      0.00014283    0.01         0.97753      0.0001114     0.01         1807.9        0.01         31164         0.01         51224        
   0.05         4.9652E+08    0.05         1587.1        0.05         1.0078       0.00033059    0.05         0.99412      0.00010196    0.05         0.9804       0.0001135     0.05         5765.1        0.05         60612         0.05         48907        
   0.1          4.9313E+08    0.1          1569.8        0.1          1.0152       0.00047978    0.1          0.99836      0.00010047    0.1          0.98245      0.00016809    0.1          2767.5        0.1          63109         0.1          22546        
   0.25         4.9823E+08    0.25         1597.3        0.25         1.0312       0.0003396     0.25         1.0087       0.00016163    0.25         0.98953      0.00014691    0.25         5428.7        0.25         23966         0.25         29007        
   0.5          5.0183E+08    0.5          1618          0.5          1.0498       0.00042179    0.5          1.0208       0.00018808    0.5          0.99719      0.00016489    0.5          3474.1        0.5          17473         0.5          22732        
   0.75         5.0203E+08    0.75         1627.5        0.75         1.064        0.00051844    0.75         1.0328       0.00020604    0.75         1.0068       0.00019516    0.75         2285.9        0.75         14474         0.75         16131        
   1            5.0089E+08    1            1640.9        1            1.0777       0.00051167    1            1.043        0.00025724    1            1.0125       0.00018836    1            2327.8        1            9209.4        1            17177        
